Date,Price,30Ravg,AIL Demand
02/13/2016 10,19.94,20.8,9662
02/13/2016 11,20.02,20.79,9720
02/13/2016 12,19.67,20.78,9643
02/13/2016 13,19.69,20.77,9545
02/13/2016 14,17.84,20.75,9445
02/13/2016 15,19.39,20.74,9293
02/13/2016 16,18.99,20.71,9287
02/13/2016 17,19.37,20.69,9393
02/13/2016 18,19.45,20.67,9682
02/13/2016 19,20.03,20.65,10010
02/13/2016 20,20.03,20.63,9900
02/13/2016 21,19.41,20.62,9770
02/13/2016 22,19.41,20.6,9584
02/13/2016 23,17.69,20.59,9340
02/13/2016 24,14.61,20.58,9026
02/14/2016 01,12,20.56,8819
02/14/2016 02,12.1,20.55,8690
02/14/2016 03,10.86,20.54,8603
02/14/2016 04,10.78,20.53,8529
02/14/2016 05,10.78,20.52,8536
02/14/2016 06,10.78,20.51,8586
02/14/2016 07,10.87,20.49,8695
02/14/2016 08,12.02,20.48,8872
02/14/2016 09,12.16,20.46,8983
02/14/2016 10,12.67,20.44,9134
02/14/2016 11,14.81,20.42,9227
02/14/2016 12,15.3,20.4,9240
02/14/2016 13,14.77,20.38,9235
02/14/2016 14,13.12,20.36,9170
02/14/2016 15,12.92,20.34,9149
02/14/2016 16,13.44,20.31,9188
02/14/2016 17,15.47,20.29,9323
02/14/2016 18,18.48,20.27,9600
02/14/2016 19,19.6,20.27,9808
02/14/2016 20,19.38,20.26,9717
02/14/2016 21,18.02,20.25,9595
02/14/2016 22,15.77,20.23,9461
02/14/2016 23,13.84,20.21,9225
02/14/2016 24,13.69,20.18,8953
02/15/2016 01,13.96,20.16,8770
02/15/2016 02,12.69,20.13,8684
02/15/2016 03,12.77,20.11,8645
02/15/2016 04,11.86,20.08,8582
02/15/2016 05,10.99,20.06,8604
02/15/2016 06,10.78,20.04,8699
02/15/2016 07,10.78,20.01,8852
02/15/2016 08,12.24,19.99,9086
02/15/2016 09,14.19,19.97,9148
02/15/2016 10,19.33,19.96,9360
02/15/2016 11,20.11,19.94,9527
02/15/2016 12,20.24,19.88,9599
02/15/2016 13,20.07,19.85,9560
02/15/2016 14,20.01,19.84,9505
02/15/2016 15,17.94,19.84,9455
02/15/2016 16,16.05,19.83,9472
02/15/2016 17,18.83,19.83,9581
02/15/2016 18,20.01,19.82,9773
02/15/2016 19,20.84,19.82,10052
02/15/2016 20,20.31,19.82,9981
02/15/2016 21,20.79,19.82,9867
02/15/2016 22,20.02,19.8,9652
02/15/2016 23,19.34,19.79,9299
02/15/2016 24,15.78,19.76,8965
02/16/2016 01,17.94,19.75,8792
02/16/2016 02,15.81,19.74,8722
02/16/2016 03,15.77,19.73,8671
02/16/2016 04,13.01,19.71,8639
02/16/2016 05,11.64,19.7,8685
02/16/2016 06,10.8,19.68,8900
02/16/2016 07,13.46,19.67,9323
02/16/2016 08,17.64,19.66,9854
02/16/2016 09,20.07,19.66,9938
02/16/2016 10,20.36,19.65,9952
02/16/2016 11,21.05,19.65,9988
02/16/2016 12,20.32,19.65,9969
02/16/2016 13,20.1,19.64,9953
02/16/2016 14,20,19.64,9969
02/16/2016 15,19.92,19.63,9925
02/16/2016 16,19.57,19.62,9871
02/16/2016 17,19.51,19.61,9938
02/16/2016 18,19.52,19.61,10080
02/16/2016 19,19.83,19.61,10304
02/16/2016 20,19.74,19.6,10222
02/16/2016 21,19.59,19.59,10121
02/16/2016 22,17.84,19.58,9820
02/16/2016 23,15.49,19.57,9463
02/16/2016 24,13.18,19.55,9073
02/17/2016 01,12,19.54,8856
02/17/2016 02,14.08,19.53,8769
02/17/2016 03,15.59,19.52,8689
02/17/2016 04,17.49,19.52,8627
02/17/2016 05,19.16,19.52,8710
02/17/2016 06,20.74,19.52,8932
02/17/2016 07,23.68,19.51,9437
02/17/2016 08,21.45,19.51,9918
02/17/2016 09,21.09,19.51,9966
02/17/2016 10,22.27,19.51,10035
02/17/2016 11,22.32,19.5,9991
02/17/2016 12,20.02,19.49,9966
02/17/2016 13,20.01,19.48,9941
02/17/2016 14,19.83,19.48,9939
02/17/2016 15,18.85,19.47,9898
02/17/2016 16,18.89,19.47,10004
02/17/2016 17,18.54,19.46,10138
02/17/2016 18,18.49,19.44,10264
02/17/2016 19,18.5,19.42,10379
02/17/2016 20,18.49,19.4,10280
02/17/2016 21,18.24,19.39,10136
02/17/2016 22,18.26,19.38,9879
02/17/2016 23,16.5,19.38,9487
02/17/2016 24,18.2,19.37,9154
02/18/2016 01,17.09,19.37,8890
02/18/2016 02,16.33,19.37,8808
02/18/2016 03,16.04,19.36,8761
02/18/2016 04,15.08,19.36,8731
02/18/2016 05,15.69,19.35,8781
02/18/2016 06,17.13,19.34,8992
02/18/2016 07,21.57,19.34,9381
02/18/2016 08,20.42,19.34,9904
02/18/2016 09,20,19.34,9956
02/18/2016 10,20.13,19.33,10054
02/18/2016 11,21.38,19.33,10112
02/18/2016 12,22.92,19.33,10136
02/18/2016 13,22.83,19.33,10037
02/18/2016 14,19.37,19.32,10007
02/18/2016 15,18.58,19.32,10021
02/18/2016 16,18.16,19.31,10028
02/18/2016 17,18.19,19.31,10117
02/18/2016 18,18.25,19.3,10270
02/18/2016 19,18.26,19.3,10371
02/18/2016 20,18.17,19.29,10262
02/18/2016 21,17.77,19.28,10052
02/18/2016 22,16.17,19.26,9806
02/18/2016 23,13.93,19.24,9447
02/18/2016 24,12.16,19.21,9150
02/19/2016 01,11.83,19.19,8942
02/19/2016 02,11.17,19.17,8842
02/19/2016 03,11.08,19.15,8764
02/19/2016 04,10.78,19.13,8711
02/19/2016 05,11,19.12,8657
02/19/2016 06,10.78,19.1,8825
02/19/2016 07,13.35,19.08,9296
02/19/2016 08,16.53,19.07,9826
02/19/2016 09,18.04,19.06,9862
02/19/2016 10,18.22,18.96,9949
02/19/2016 11,18.26,18.19,9995
02/19/2016 12,18.4,18.16,10063
02/19/2016 13,18.13,18.13,10102
02/19/2016 14,18.2,18.12,10105
02/19/2016 15,18.26,18.12,10009
02/19/2016 16,18.26,18.11,9959
02/19/2016 17,18.61,18.1,10090
02/19/2016 18,18.57,18.08,10143
02/19/2016 19,18.49,18.06,10320
02/19/2016 20,18.27,18.05,10204
02/19/2016 21,18.24,18.04,10132
02/19/2016 22,18.14,18.04,9937
02/19/2016 23,17.02,18.03,9608
02/19/2016 24,16.69,18.03,9313
02/20/2016 01,17.26,18.02,9116
02/20/2016 02,14.84,18.01,8989
02/20/2016 03,12.53,18,8902
02/20/2016 04,11.83,18,8854
02/20/2016 05,11.83,17.99,8900
02/20/2016 06,12.14,17.98,8966
02/20/2016 07,12.91,17.97,9122
02/20/2016 08,13.71,17.97,9294
02/20/2016 09,15.57,17.96,9425
02/20/2016 10,18.23,17.96,9584
02/20/2016 11,18.68,17.96,9685
02/20/2016 12,18.59,17.96,9719
02/20/2016 13,19.47,17.96,9725
02/20/2016 14,19.95,17.96,9683
02/20/2016 15,20.66,17.96,9603
02/20/2016 16,19.19,17.96,9568
02/20/2016 17,17.89,17.96,9633
02/20/2016 18,17.7,17.96,9801
02/20/2016 19,18,17.96,10055
02/20/2016 20,17.91,17.96,9991
02/20/2016 21,17.87,17.96,9892
02/20/2016 22,17.78,17.96,9734
02/20/2016 23,16.68,17.96,9505
02/20/2016 24,15.81,17.96,9193
02/21/2016 01,14.11,17.96,8973
02/21/2016 02,12.93,17.96,8817
02/21/2016 03,12.93,17.96,8729
02/21/2016 04,14.05,17.95,8712
02/21/2016 05,14.96,17.95,8702
02/21/2016 06,13.43,17.94,8725
02/21/2016 07,15.14,17.94,8855
02/21/2016 08,15.28,17.93,8998
02/21/2016 09,15.43,17.93,9094
02/21/2016 10,15.77,17.92,9191
02/21/2016 11,15.79,17.91,9276
02/21/2016 12,16.6,17.91,9302
02/21/2016 13,17.46,17.9,9318
02/21/2016 14,17.5,17.9,9299
02/21/2016 15,17.18,17.9,9301
02/21/2016 16,17.13,17.9,9353
02/21/2016 17,17.35,17.9,9466
02/21/2016 18,18.04,17.9,9735
02/21/2016 19,19.27,17.9,10136
02/21/2016 20,19.27,17.9,10227
02/21/2016 21,18.53,17.9,10100
02/21/2016 22,17.44,17.9,9875
02/21/2016 23,16.09,17.9,9537
02/21/2016 24,14.93,17.9,9197
02/22/2016 01,12.49,17.9,8982
02/22/2016 02,11.68,17.9,8867
02/22/2016 03,10.78,17.9,8841
02/22/2016 04,10.78,17.9,8852
02/22/2016 05,10.78,17.9,8942
02/22/2016 06,11.79,17.9,9151
02/22/2016 07,16.84,17.91,9662
02/22/2016 08,17.09,17.91,10113
02/22/2016 09,17.06,17.9,10068
02/22/2016 10,17.53,17.9,10067
02/22/2016 11,17.71,17.9,10079
02/22/2016 12,17.28,17.89,10034
02/22/2016 13,17.08,17.88,9962
02/22/2016 14,17.55,17.88,9936
02/22/2016 15,17.99,17.88,9898
02/22/2016 16,17.95,17.87,9864
02/22/2016 17,17.06,17.87,9899
02/22/2016 18,17.06,17.86,9992
02/22/2016 19,17.65,17.85,10234
02/22/2016 20,18.14,17.84,10191
02/22/2016 21,18.3,17.84,10037
02/22/2016 22,17.5,17.83,9783
02/22/2016 23,16.05,17.82,9377
02/22/2016 24,14.5,17.81,9078
02/23/2016 01,13.06,17.81,8890
02/23/2016 02,12.92,17.8,8810
02/23/2016 03,12.92,17.8,8694
02/23/2016 04,12.93,17.79,8679
